medialne,6457,69.3,114.8
oko_press,48241,51.4,163.1
tvp_info,690970,40.0,657.6
gazeta_wyborcza,766562,33.9,101.4
Matka_Kurka,22222,31.9,803.1
RadioZET_NEWS,67285,30.6,202.6
konkret24,9497,27.0,21.5
WiadomosciTVP,90810,26.5,98.3
natematpl,61706,21.7,15
gazetapl_news,593242,21.6,9.7
tvn24,1412002,20.0,408.1
wSensie,7887,15.7,9.4
wPrawopl,8059,15.4,46.1
MediaNarodoweMN,17976,15.0,57.4
rzeczpospolita,196831,12.6,198.3
OnetWiadomosci,44851,11.2,91.1
DemagogPL,6898,7.6,8.5
niezaleznapl,53061,7.3,79.8
RepublikaTV,80310,7.0,286.8
